name,expanded,path
Random,2771,124
Random,3024,110
Random,2565,123
Random,1945,117
Random,2002,106
Random,2393,119
Random,2161,96
Random,2363,110
Random,2106,136
Random,2779,122
Random,2449,108
Random,2568,130
Random,2555,117
Random,2968,147
Random,2337,122
Random,2681,140
Random,2299,110
Random,2396,111
Random,1693,89
Random,2322,99
DFS,1172,434
DFS,1492,618
DFS,1583,397
DFS,1493,481
DFS,2746,514
DFS,1882,539
DFS,1250,422
DFS,2548,484
DFS,1531,516
DFS,2910,270
DFS,3104,394
DFS,2633,550
DFS,1872,561
DFS,3064,389
DFS,1678,418
DFS,2936,500
DFS,1450,330
DFS,1125,409
DFS,2209,473
DFS,1813,463
BFS,2754,98
BFS,3018,96
BFS,2643,103
BFS,2021,101
BFS,2106,98
BFS,2221,85
BFS,2187,88
BFS,2352,90
BFS,2458,106
BFS,2565,98
BFS,2466,92
BFS,2750,110
BFS,2642,101
BFS,2804,103
BFS,2495,112
BFS,2722,116
BFS,2469,96
BFS,2293,89
BFS,1727,81
BFS,2017,87
Greedy,2788,98
Greedy,3011,96
Greedy,2649,103
Greedy,2033,101
Greedy,2122,98
Greedy,2230,85
Greedy,2166,88
Greedy,2415,90
Greedy,2529,106
Greedy,2592,98
Greedy,2485,92
Greedy,2790,110
Greedy,2634,101
Greedy,2807,103
Greedy,2562,112
Greedy,2736,116
Greedy,2503,96
Greedy,2311,89
Greedy,1727,81
Greedy,2024,87
Ecluidean,1804,98
Ecluidean,1989,98
Ecluidean,2108,109
Ecluidean,1617,101
Ecluidean,1478,98
Ecluidean,1845,85
Ecluidean,1768,90
Ecluidean,1712,90
Ecluidean,1809,106
Ecluidean,1873,98
Ecluidean,2042,92
Ecluidean,1832,110
Ecluidean,1741,101
Ecluidean,1854,103
Ecluidean,1786,114
Ecluidean,2347,116
Ecluidean,1961,96
Ecluidean,1950,89
Ecluidean,1320,81
Ecluidean,1485,87
Manhattan,1772,98
Manhattan,1934,98
Manhattan,2008,109
Manhattan,1599,101
Manhattan,1406,98
Manhattan,1812,85
Manhattan,1751,90
Manhattan,1659,90
Manhattan,1712,106
Manhattan,1810,98
Manhattan,2037,92
Manhattan,1776,110
Manhattan,1654,101
Manhattan,1816,103
Manhattan,1753,114
Manhattan,2393,116
Manhattan,1921,96
Manhattan,1985,89
Manhattan,1260,81
Manhattan,1390,87
New,1448,98
New,1734,98
New,977,111
New,1303,101
New,1360,100
New,1178,91
New,1630,88
New,1214,112
New,1421,106
New,939,104
New,1519,100
New,1478,118
New,1303,101
New,1143,103
New,1304,112
New,2201,116
New,1429,96
New,1322,93
New,664,85
New,786,93
